id,title,description,availability,condition,price,sale_price,link,image_link,brand,item_group_id,sku
53243722694965,Dumbbell Cart,Fully refundable reservation deposit for the dumbbell cart.,in stock,new,50.00 GBP,,https://freakathlete.co.uk/products/dumbbell-cart-deposit,https://cdn.shopify.com/s/files/1/0665/6881/4901/files/dumbbell-cart.png?v=1785757566,Freak Athlete,10629948244277,DEP-CART
53243722629429,FA Adjustable Dumbbell - 40 kg,"Fully refundable reservation deposit. This is a deposit, not the full price.",in stock,new,100.00 GBP,,https://freakathlete.co.uk/products/adjustable-dumbbell,https://cdn.shopify.com/s/files/1/0665/6881/4901/files/fa-dumbbell-pair-square.png?v=1785757563,Freak Athlete,10629948211509,DEP-ADB-40
53243722662197,FA Adjustable Dumbbell - 55 kg,"Fully refundable reservation deposit. This is a deposit, not the full price.",in stock,new,100.00 GBP,,https://freakathlete.co.uk/products/adjustable-dumbbell,https://cdn.shopify.com/s/files/1/0665/6881/4901/files/fa-dumbbell-pair-square.png?v=1785757563,Freak Athlete,10629948211509,DEP-ADB-55
53048791892277,FA Adjustable Kettlebell Pair,,in stock,new,499.98 GBP,,https://freakathlete.co.uk/products/fa-adjustable-kettlebell-pair,,Freak Athlete UK,10571930272053,FA031001-PAIR
52337778786613,FA Adjustable Kettlebell - 1 Kettlebell,<p>This all-in-one Adjustable Kettlebell allows you to transition from 12-32 kg (24-70 lbs) in seconds.</p>,in stock,new,249.99 GBP,,https://freakathlete.co.uk/products/kettlebell,https://cdn.shopify.com/s/files/1/0665/6881/4901/files/GHD_1_f60552df-47f8-43c8-af25-7d6d2a29381b.png?v=1777984295,Freak Athlete UK,10388081180981,FA031000
52337778819381,FA Adjustable Kettlebell - 2 Kettlebells,<p>This all-in-one Adjustable Kettlebell allows you to transition from 12-32 kg (24-70 lbs) in seconds.</p>,in stock,new,499.98 GBP,349.98 GBP,https://freakathlete.co.uk/products/kettlebell,https://cdn.shopify.com/s/files/1/0665/6881/4901/files/GHD_1_f60552df-47f8-43c8-af25-7d6d2a29381b.png?v=1777984295,Freak Athlete UK,10388081180981,FA031001
51374419968309,Bicep Attachment,<p>Train incline and preacher curls to sculpt and strengthen your arms.</p>,in stock,new,200.00 GBP,,https://freakathlete.co.uk/products/bicep-curl,https://cdn.shopify.com/s/files/1/0665/6881/4901/files/BISECP_CURL.23_0d8015ca-750a-4c5f-8b1a-03be74e1e7a1.png?v=1759715819,Freak Athlete UK,10245741773109,FA030000
51314825134389,Freak Athlete Belt,,out of stock,new,70.00 GBP,,https://freakathlete.co.uk/products/freak-athlete-belt,https://cdn.shopify.com/s/files/1/0665/6881/4901/files/Freak_Athlete_Belt_Squat_Attachment_3.png?v=1757968287,Freak Athlete UK,10220724060469,
51266638577973,ABX Weight Bench,<p>The world’s best weight bench. 10 machines in 1 for full-body training.</p>,in stock,new,499.99 GBP,,https://freakathlete.co.uk/products/abx,https://cdn.shopify.com/s/files/1/0665/6881/4901/files/ABX_-_without_Hamstring_handles.jpg?v=1768829212,Freak Athlete Canada,10204307718453,bundle-abx
51266614395189,ABX Cable Attachment,<p>Train Leg Extensions and Hamstring Curls.<br></p>,in stock,new,50.00 GBP,,https://freakathlete.co.uk/products/abx-cable-attachment,https://cdn.shopify.com/s/files/1/0665/6881/4901/files/ABX_CA_Evergreen.png?v=1776679699,Freak Athlete,10204299657525,FA029000
51266614329653,ABX Leg Developer Attachment,<p>Train Leg Extensions and Hamstring Curls. Upgrade your ABX into a 10 in 1 machine.<br></p>,in stock,new,350.00 GBP,,https://freakathlete.co.uk/products/abx-leg-developer-attachment,https://cdn.shopify.com/s/files/1/0665/6881/4901/files/LEG_DEVELOPER.0_05240a22-de83-42d5-87be-05234fe25469.png?v=1768828966,Freak Athlete,10204299591989,FA028000
51266614231349,Sit-Up Attachment,"<p>Strengthen your core with decline sit-ups, twists, and dynamic ab work.</p>",in stock,new,120.00 GBP,,https://freakathlete.co.uk/products/sit-up-attachment,https://cdn.shopify.com/s/files/1/0665/6881/4901/files/SIT_UPS.5.png?v=1756760215,Freak Athlete,10204299526453,FA026000
51266614198581,Dip Attachment,"<p>Build powerful triceps, chest, and shoulders.</p>",in stock,new,80.00 GBP,,https://freakathlete.co.uk/products/dip-attachment,https://cdn.shopify.com/s/files/1/0665/6881/4901/files/DIPS.9.png?v=1756760213,Freak Athlete,10204299493685,FA027000
50845505716533,Calf Raise Block,"<p><meta charset=""utf-8""><meta charset=""utf-8""><span></span><span></span><span>Train calves with full range and rock-solid stability. Pairs perfectly with the Belt Squat Attachment. Free with Belt Squat Attachment (£79.99 value). Also sold separately.</span></p>",in stock,new,79.99 GBP,,https://freakathlete.co.uk/products/calf-raise-block,https://cdn.shopify.com/s/files/1/0665/6881/4901/files/CalfRaise.jpg?v=1745152239,Freak Athlete UK,10065969316149,FA023000
50938960216373,GHD Pro Upgrade Kit,"<p>Turn your Nordic Hyper into a Hyper Pro.<br><meta charset=""utf-8"">1. <strong>GHD Attachment</strong> (better training)<br>2. <strong>Pro Rear Base </strong>(better stability)<br>3. <strong>Pro</strong> <strong>Padding</strong> (better comfort)<br>4. <strong>Vertical Bar</strong> (better storage)<br></p>
<p><!----><meta charset=""utf-8""><strong>Note: If you buy or own a Hyper Pro, all parts in the GHD Pro Upgrade Kit will already be included.</strong><br></p>
<p> </p>",out of stock,new,250.00 GBP,,https://freakathlete.co.uk/products/ghd-pro-upgrade-kit,https://cdn.shopify.com/s/files/1/0665/6881/4901/files/PDP_Images_Pro_Upgrade_Kit_e484fe04-6228-46d9-b4a1-770148c2ae1e.jpg?v=1747924747,Freak Athlete UK,10092516344117,Pro-Upgrade-Kit
50524223996213,Cable Attachment,"<p><meta charset=""utf-8""><meta charset=""utf-8"">Inspired by customer feedback! Connect your Leg Developer Attachment to a weight stack. </p>",in stock,new,50.00 GBP,,https://freakathlete.co.uk/products/cable-attachment,https://cdn.shopify.com/s/files/1/0665/6881/4901/files/Cable_Attachment.jpg?v=1740034898,Freak Athlete,9963969020213,FA013000
50615475929397,Leg Developer Attachment + Cable Attachment Bundle,"<p>Train Leg Extensions, Hamstring Curls, and Upper Body. Upgrade your Hyper into a 9 in 1 machine.</p>",in stock,new,450.00 GBP,,https://freakathlete.co.uk/products/leg-developer-attachment-cable-attachment-bundle-copy,https://cdn.shopify.com/s/files/1/0665/6881/4901/files/LegDevCableAttachment.jpg?v=1740240133,Freak Athlete,9994804199733,FA018000
50615457382709,Leg Developer Attachment + Upper Body Kit + Cable Attachment Bundle,"<p>Train Leg Extensions, Hamstring Curls, and Upper Body. Upgrade your Hyper into a 9 in 1 machine.</p>",in stock,new,480.00 GBP,,https://freakathlete.co.uk/products/leg-developer-attachment-upper-body-kit-cable-attachment-bundle,https://cdn.shopify.com/s/files/1/0665/6881/4901/files/LegDevCableAttachmentUpperBodyKit.jpg?v=1740240080,Freak Athlete,9994798399797,FA019000
50244870013237,Leg Developer Attachment + Upper Body Kit Bundle,"<p>Train Leg Extensions, Hamstring Curls, and Upper Body. Upgrade your Hyper into a 9 in 1 machine.</p>",in stock,new,430.00 GBP,400.00 GBP,https://freakathlete.co.uk/products/leg-developer-attachment-upper-body-kit-bundle,https://cdn.shopify.com/s/files/1/0665/6881/4901/files/Leg_Dev_Upper_Body_ed50e6b1-a1af-4abf-9f59-a49d26f002dc.jpg?v=1740240080,Freak Athlete,9882250510645,LDA-UBK
49948053963061,Hyper Pro,"<p>Bulletproof your hamstrings, glutes, quads, back, and more with 9 machines in 1. <meta charset=""utf-8""><strong>(GHD Attachment now included)</strong></p>",in stock,new,699.99 GBP,,https://freakathlete.co.uk/products/hyper-pro,https://cdn.shopify.com/s/files/1/0665/6881/4901/files/UK_GHD_PDP_34b66f41-ee5f-4977-9b4a-d244379a5b95.jpg?v=1752257602,Freak Athlete,9795112698165,bundle-hyper-pro
49948054257973,GHD Pro Upgrade Kit,"<p>Turn your Nordic Hyper into a Hyper Pro with an upgraded GHD Attachment, better stability, and better padding.</p>
<p><meta charset=""utf-8""><strong>Note: If you buy or own a Hyper Pro, all parts in the GHD Pro Upgrade Kit will already be included.</strong></p>
<!---->",in stock,new,250.00 GBP,,https://freakathlete.co.uk/products/pro-upgrade-kit,https://cdn.shopify.com/s/files/1/0665/6881/4901/files/PDP_Images_Pro_Upgrade_Kit.jpg?v=1737444457,Freak Athlete,9795113058613,Pro-Upgrade-Kit
49948054061365,Upper Body Kit,"<p>Train 6+ Upper Body movements, right from your Hyper and Leg Developer.</p>",in stock,new,30.00 GBP,,https://freakathlete.co.uk/products/upper-body-kit,https://cdn.shopify.com/s/files/1/0665/6881/4901/files/UBKhandlesonly_2.jpg?v=1745426591,Freak Athlete,9795112796469,Upper-Body-Kit
49074583896373,Leg Developer Attachment,"<p>Train Leg Extensions, Hamstring Curls, and Upper Body. Upgrade your Hyper into a 9 in 1 machine.</p>",in stock,new,350.00 GBP,,https://freakathlete.co.uk/products/leg-developer-attachment,https://cdn.shopify.com/s/files/1/0665/6881/4901/files/LDA_PDP_1021b952-bb8b-4aec-b3d4-8b876117863a.jpg?v=1743036287,Freak Athlete,9467072512309,Leg-Developer-Attachment
